location,neighborhoods,population,table_date
"Dallas, Texas",Eagle Ford,"26,459",2023-11-23
"Dallas, Texas",Lake Caroline,658,2023-11-23
"Dallas, Texas",Far North,"154,341",2023-11-23
"Dallas, Texas",South Boulevard-Park Row Historic,"25,184",2023-11-23
"Dallas, Texas",Reunion District,14,2023-11-23
"Dallas, Texas",Buckner Terrace,"11,819",2023-11-23
"Dallas, Texas",West End Historic District,477,2023-11-23
"Dallas, Texas",City Center District,858,2023-11-23
"Dallas, Texas",North Dallas,"40,125",2023-11-23
"Dallas, Texas",Love Field Area,"10,604",2023-11-23
"Dallas, Texas",Main Street District,"1,487",2023-11-23
"Dallas, Texas",Farmers Market District,"2,364",2023-11-23
"Denver, Colorado",Hilltop,"8,190",2023-11-23
"Denver, Colorado",Bear Valley,"8,892",2023-11-23
"Denver, Colorado",University Hills,"5,568",2023-11-23
"Denver, Colorado",Ruby Hill,"9,820",2023-11-23
"Denver, Colorado",Sloan Lake,"7,238",2023-11-23
"Denver, Colorado",Speer,"10,954",2023-11-23
"Denver, Colorado",Cole,"4,651",2023-11-23
"Denver, Colorado",Whittier,"4,831",2023-11-23
"Denver, Colorado",South Park Hill,"8,590",2023-11-23
"Denver, Colorado",Capitol Hill,"14,708",2023-11-23
"Denver, Colorado",Cory - Merrill,"3,892",2023-11-23
"Denver, Colorado",Belcaro,"4,172",2023-11-23
"Denver, Colorado",University Park,"7,491",2023-11-23
"Denver, Colorado",Fort Logan,"8,445",2023-11-23
"Denver, Colorado",Cherry Creek,"5,589",2023-11-23
"Denver, Colorado",Gateway - Green Valley Ranch,"29,201",2023-11-23
"Denver, Colorado",Barnum West,"5,376",2023-11-23
"Denver, Colorado",Villa Park,"8,758",2023-11-23
"Denver, Colorado",North Capitol Hill,"5,823",2023-11-23
"Denver, Colorado",Southmoor Park,"3,826",2023-11-23
"Denver, Colorado",Windsor,"12,589",2023-11-23
"Denver, Colorado",Goldsmith,"5,808",2023-11-23
"Denver, Colorado",Jefferson Park,"2,552",2023-11-23
"Denver, Colorado",Lowry Field,"8,067",2023-11-23
"Denver, Colorado",Washington Park West,"6,393",2023-11-23
"Denver, Colorado",City Park,"2,907",2023-11-23
"Detroit, Michigan",Marina District,715,2023-11-23
"Detroit, Michigan",Conant Gardens,"1,001",2023-11-23
"Detroit, Michigan",Warrendale,"18,978",2023-11-23
"Detroit, Michigan",University District,"2,073",2023-11-23
"Detroit, Michigan",Grixdale,"1,130",2023-11-23
"Detroit, Michigan",Minock Park,"1,216",2023-11-23
"Detroit, Michigan",Hubbard-Richard,"2,082",2023-11-23
"Detroit, Michigan",Briggs,"1,725",2023-11-23
"Detroit, Michigan",Art Center,"1,866",2023-11-23
"Detroit, Michigan",Wayne State,"4,061",2023-11-23
"Detroit, Michigan",Springwells,"13,550",2023-11-23
"Detroit, Michigan",Regent Park,"4,964",2023-11-23
"Detroit, Michigan",Carbon Works,776,2023-11-23
"Detroit, Michigan",Virginia Park,"2,141",2023-11-23
"Detroit, Michigan",Petosky-Otsego,"10,389",2023-11-23
"Detroit, Michigan",Fishkorn,"3,832",2023-11-23
"Detroit, Michigan",Oakwood Heights,594,2023-11-23
"Detroit, Michigan",Grandale,"6,986",2023-11-23
"Detroit, Michigan",Westwood Park,903,2023-11-23
"Detroit, Michigan",Jefferson Chalmers,"6,624",2023-11-23
"Detroit, Michigan",Boynton,"6,946",2023-11-23
"Detroit, Michigan",Franklin Park,"10,632",2023-11-23
"Detroit, Michigan",LaSalle College Park,"3,583",2023-11-23
"Detroit, Michigan",Green Acres,"1,053",2023-11-23
"Detroit, Michigan",Detroit Golf,"1,448",2023-11-23
"Detroit, Michigan",Millenium Village,789,2023-11-23
