Date	State	Category	Dollars
2022-10-23	Connecticut	Alcohol	"$1,870,989"
2022-10-30	Connecticut	Alcohol	"$1,941,336"
2022-11-06	Connecticut	Alcohol	"$2,008,326"
2022-11-13	Connecticut	Alcohol	"$1,840,522"
2022-11-20	Connecticut	Alcohol	"$2,151,062"
2022-11-27	Connecticut	Alcohol	"$2,475,188"
2022-12-04	Connecticut	Alcohol	"$1,581,125"
2022-12-11	Connecticut	Alcohol	"$1,800,205"
2022-12-18	Connecticut	Alcohol	"$1,992,112"
2022-12-25	Connecticut	Alcohol	"$2,723,375"
2022-01-02	Florida	Alcohol	"$137,049,530"
2022-01-09	Florida	Alcohol	"$101,562,842"
2022-01-16	Florida	Alcohol	"$109,707,686"
2022-01-23	Florida	Alcohol	"$109,167,916"
2022-01-30	Florida	Alcohol	"$111,216,877"
2022-02-06	Florida	Alcohol	"$117,044,999"
2022-02-13	Florida	Alcohol	"$129,210,444"
2022-02-20	Florida	Alcohol	"$125,826,704"
2022-02-27	Florida	Alcohol	"$127,916,641"
2022-03-06	Florida	Alcohol	"$128,146,789"
2022-03-13	Florida	Alcohol	"$126,303,470"
2022-03-20	Florida	Alcohol	"$130,983,393"
2022-03-27	Florida	Alcohol	"$126,876,271"
2022-04-03	Florida	Alcohol	"$128,272,064"
2022-04-10	Florida	Alcohol	"$128,360,472"
2022-04-17	Florida	Alcohol	"$132,166,507"
2022-04-24	Florida	Alcohol	"$125,921,575"
2022-05-01	Florida	Alcohol	"$122,952,221"
2022-05-08	Florida	Alcohol	"$127,919,835"
2022-05-15	Florida	Alcohol	"$119,911,731"
2022-05-22	Florida	Alcohol	"$118,261,534"
2022-05-29	Florida	Alcohol	"$130,637,006"
2022-06-05	Florida	Alcohol	"$115,327,204"
2022-06-12	Florida	Alcohol	"$116,933,783"
2022-06-19	Florida	Alcohol	"$125,256,131"
2022-06-26	Florida	Alcohol	"$119,628,521"
2022-07-03	Florida	Alcohol	"$136,074,656"
2022-07-10	Florida	Alcohol	"$123,551,078"
2022-07-17	Florida	Alcohol	"$116,653,372"
2022-07-24	Florida	Alcohol	"$118,976,408"
2022-07-31	Florida	Alcohol	"$119,549,380"
2022-08-07	Florida	Alcohol	"$118,190,642"
2022-08-14	Florida	Alcohol	"$113,993,426"
2022-08-21	Florida	Alcohol	"$115,656,206"
2022-08-28	Florida	Alcohol	"$114,116,058"
2022-09-04	Florida	Alcohol	"$124,651,102"
2022-09-11	Florida	Alcohol	"$113,443,510"
2022-09-18	Florida	Alcohol	"$112,055,239"
2022-09-25	Florida	Alcohol	"$131,262,265"
2022-10-02	Florida	Alcohol	"$115,015,911"
2022-10-09	Florida	Alcohol	"$117,989,019"
2022-10-16	Florida	Alcohol	"$121,582,285"
2022-10-23	Florida	Alcohol	"$119,455,128"
2022-10-30	Florida	Alcohol	"$126,927,570"
2022-11-06	Florida	Alcohol	"$129,670,618"
2022-11-13	Florida	Alcohol	"$122,894,257"
2022-11-20	Florida	Alcohol	"$141,247,680"
2022-11-27	Florida	Alcohol	"$130,925,659"
2022-12-04	Florida	Alcohol	"$119,731,075"
2022-12-11	Florida	Alcohol	"$125,285,252"
2022-12-18	Florida	Alcohol	"$134,310,724"
2022-12-25	Florida	Alcohol	"$159,943,376"
2022-01-02	Georgia	Alcohol	"$43,672,275"
2022-01-09	Georgia	Alcohol	"$33,002,303"
2022-01-16	Georgia	Alcohol	"$38,355,730"
2022-01-23	Georgia	Alcohol	"$34,303,631"
2022-01-30	Georgia	Alcohol	"$35,966,312"
2022-02-06	Georgia	Alcohol	"$36,724,973"
2022-02-13	Georgia	Alcohol	"$40,646,152"
2022-02-20	Georgia	Alcohol	"$39,395,760"
2022-02-27	Georgia	Alcohol	"$39,609,620"
2022-03-06	Georgia	Alcohol	"$40,770,959"
2022-03-13	Georgia	Alcohol	"$38,742,890"
2022-03-20	Georgia	Alcohol	"$40,517,553"
2022-03-27	Georgia	Alcohol	"$40,372,836"
2022-04-03	Georgia	Alcohol	"$41,448,264"
2022-04-10	Georgia	Alcohol	"$39,923,701"
2022-04-17	Georgia	Alcohol	"$43,863,071"
2022-04-24	Georgia	Alcohol	"$41,971,890"
2022-05-01	Georgia	Alcohol	"$43,382,065"
2022-05-08	Georgia	Alcohol	"$44,874,295"
2022-05-15	Georgia	Alcohol	"$44,022,838"
2022-05-22	Georgia	Alcohol	"$44,943,542"
2022-05-29	Georgia	Alcohol	"$47,123,644"
2022-06-05	Georgia	Alcohol	"$43,735,203"
2022-06-12	Georgia	Alcohol	"$43,411,075"
2022-06-19	Georgia	Alcohol	"$45,509,938"
2022-06-26	Georgia	Alcohol	"$44,308,893"
2022-07-03	Georgia	Alcohol	"$49,278,678"
2022-07-10	Georgia	Alcohol	"$45,060,102"
2022-07-17	Georgia	Alcohol	"$43,590,532"
2022-07-24	Georgia	Alcohol	"$43,993,483"
2022-07-31	Georgia	Alcohol	"$44,650,354"
2022-08-07	Georgia	Alcohol	"$44,911,196"
2022-08-14	Georgia	Alcohol	"$44,701,811"
2022-08-21	Georgia	Alcohol	"$43,285,087"
2022-08-28	Georgia	Alcohol	"$44,323,331"
2022-09-04	Georgia	Alcohol	"$48,115,580"
2022-09-11	Georgia	Alcohol	"$43,540,631"
2022-09-18	Georgia	Alcohol	"$44,658,368"
2022-09-25	Georgia	Alcohol	"$45,038,714"
2022-10-02	Georgia	Alcohol	"$44,335,977"
2022-10-09	Georgia	Alcohol	"$44,029,204"
2022-10-16	Georgia	Alcohol	"$44,217,439"
2022-10-23	Georgia	Alcohol	"$41,472,148"
2022-10-30	Georgia	Alcohol	"$43,212,450"
2022-11-06	Georgia	Alcohol	"$44,038,391"
2022-11-13	Georgia	Alcohol	"$41,495,134"
2022-11-20	Georgia	Alcohol	"$42,620,598"
2022-11-27	Georgia	Alcohol	"$49,985,814"
2022-12-04	Georgia	Alcohol	"$40,496,261"
2022-12-11	Georgia	Alcohol	"$40,920,746"
2022-12-18	Georgia	Alcohol	"$42,248,316"
2022-12-25	Georgia	Alcohol	"$51,263,487"
2022-01-02	Illinois	Alcohol	"$48,747,913"
2022-01-09	Illinois	Alcohol	"$32,597,350"
2022-01-16	Illinois	Alcohol	"$36,986,136"
2022-01-23	Illinois	Alcohol	"$37,939,947"
2022-01-30	Illinois	Alcohol	"$38,949,034"
2022-02-06	Illinois	Alcohol	"$39,664,653"
2022-02-13	Illinois	Alcohol	"$44,269,754"
2022-02-20	Illinois	Alcohol	"$39,942,979"
2022-02-27	Illinois	Alcohol	"$39,000,840"
2022-03-06	Illinois	Alcohol	"$40,039,774"
2022-03-13	Illinois	Alcohol	"$40,950,247"
2022-03-20	Illinois	Alcohol	"$41,690,782"
2022-03-27	Illinois	Alcohol	"$39,657,231"
2022-04-03	Illinois	Alcohol	"$39,993,049"
2022-04-10	Illinois	Alcohol	"$41,108,595"
2022-04-17	Illinois	Alcohol	"$46,153,267"
2022-04-24	Illinois	Alcohol	"$41,605,530"
2022-05-01	Illinois	Alcohol	"$41,496,854"
2022-05-08	Illinois	Alcohol	"$47,066,183"
2022-05-15	Illinois	Alcohol	"$48,232,937"
2022-05-22	Illinois	Alcohol	"$46,175,766"
2022-05-29	Illinois	Alcohol	"$54,839,333"
2022-06-05	Illinois	Alcohol	"$49,842,708"
2022-06-12	Illinois	Alcohol	"$47,047,472"
2022-06-19	Illinois	Alcohol	"$54,164,914"
2022-06-26	Illinois	Alcohol	"$49,865,126"
2022-07-03	Illinois	Alcohol	"$60,027,704"
2022-07-10	Illinois	Alcohol	"$50,005,218"
2022-07-17	Illinois	Alcohol	"$46,488,152"
2022-07-24	Illinois	Alcohol	"$48,252,759"
2022-07-31	Illinois	Alcohol	"$48,560,055"
2022-08-07	Illinois	Alcohol	"$47,095,469"
2022-08-14	Illinois	Alcohol	"$46,562,100"
2022-08-21	Illinois	Alcohol	"$45,641,655"
2022-08-28	Illinois	Alcohol	"$46,595,317"
2022-09-04	Illinois	Alcohol	"$51,218,317"
2022-09-11	Illinois	Alcohol	"$46,151,191"
2022-09-18	Illinois	Alcohol	"$45,150,024"
2022-09-25	Illinois	Alcohol	"$44,053,469"
2022-10-02	Illinois	Alcohol	"$43,577,503"
2022-10-09	Illinois	Alcohol	"$44,313,028"
