GEO_ID	NAME	DP05_0088E
Geography	Geographic Area Name	Estimate!!Total housing units
1600000US1706613	"Bloomington city, Illinois"	38224
1600000US1707133	"Bolingbrook village, Illinois"	27001
1600000US1712385	"Champaign city, Illinois"	42580
1600000US1714000	"Chicago city, Illinois"	1262463
1600000US1714351	"Cicero town, Illinois"	28572
1600000US1718823	"Decatur city, Illinois"	35995
1600000US1723074	"Elgin city, Illinois"	38965
1600000US1724582	"Evanston city, Illinois"	35929
1600000US1738570	"Joliet city, Illinois"	50949
1600000US1751622	"Naperville city, Illinois"	56028
1600000US1757225	"Palatine village, Illinois"	27492
1600000US1759000	"Peoria city, Illinois"	52247
1600000US1765000	"Rockford city, Illinois"	65252
1600000US1768003	"Schaumburg village, Illinois"	33872
1600000US1770122	"Skokie village, Illinois"	24533
1600000US1772000	"Springfield city, Illinois"	58310
1600000US1779293	"Waukegan city, Illinois"	33846
1600000US1805860	"Bloomington city, Indiana"	38784
1600000US1810342	"Carmel city, Indiana"	41456
1600000US1822000	"Evansville city, Indiana"	60734
1600000US1823278	"Fishers city, Indiana"	39898
1600000US1825000	"Fort Wayne city, Indiana"	118471
1600000US1827000	"Gary city, Indiana"	39524
1600000US1831000	"Hammond city, Indiana"	30876
1600000US1836003	"Indianapolis city (balance), Indiana"	401713
1600000US1840788	"Lafayette city, Indiana"	34239
1600000US1851876	"Muncie city, Indiana"	30826
1600000US1854180	"Noblesville city, Indiana"	28292
1600000US1871000	"South Bend city, Indiana"	48918
1600000US1901855	"Ames city, Iowa"	29054
1600000US1902305	"Ankeny city, Iowa"	28946
1600000US1912000	"Cedar Rapids city, Iowa"	63081
1600000US1919000	"Davenport city, Iowa"	48386
1600000US1921000	"Des Moines city, Iowa"	100258
1600000US1938595	"Iowa City city, Iowa"	33446
1600000US1973335	"Sioux City city, Iowa"	35092
1600000US1982425	"Waterloo city, Iowa"	30851
1600000US1983910	"West Des Moines city, Iowa"	32943
1600000US2036000	"Kansas City city, Kansas"	63991
1600000US2038900	"Lawrence city, Kansas"	44318
1600000US2052575	"Olathe city, Kansas"	52937
1600000US2053775	"Overland Park city, Kansas"	91560
1600000US2064500	"Shawnee city, Kansas"	26849
1600000US2071000	"Topeka city, Kansas"	60554
1600000US2079000	"Wichita city, Kansas"	177646
1600000US2108902	"Bowling Green city, Kentucky"	34987
1600000US2146027	"Lexington-Fayette urban county, Kentucky"	148963
1600000US2148006	"Louisville/Jefferson County metro government (balance), Kentucky"	288933
1600000US2205000	"Baton Rouge city, Louisiana"	106202
1600000US2239475	"Kenner city, Louisiana"	28654
1600000US2240735	"Lafayette city, Louisiana"	60226
1600000US2241155	"Lake Charles city, Louisiana"	41389
1600000US2250115	"Metairie CDP, Louisiana"	68023
1600000US2255000	"New Orleans city, Louisiana"	195626
1600000US2270000	"Shreveport city, Louisiana"	92362
1600000US2360545	"Portland city, Maine"	39405
1600000US2404000	"Baltimore city, Maryland"	293879
1600000US2407125	"Bethesda CDP, Maryland"	30969
1600000US2419125	"Columbia CDP, Maryland"	43238
1600000US2423975	"Dundalk CDP, Maryland"	27064
1600000US2426000	"Ellicott City CDP, Maryland"	27059
1600000US2430325	"Frederick city, Maryland"	33864
1600000US2431175	"Gaithersburg city, Maryland"	25264
1600000US2432025	"Germantown CDP, Maryland"	34535
1600000US2432650	"Glen Burnie CDP, Maryland"	29695
1600000US2467675	"Rockville city, Maryland"	27917
1600000US2472450	"Silver Spring CDP, Maryland"	35441
1600000US2481175	"Waldorf CDP, Maryland"	31625
1600000US2507000	"Boston city, Massachusetts"	307836
1600000US2509000	"Brockton city, Massachusetts"	40693
